coordinates;speed_limit
[(8.7084083, 46.117195), (8.7086873, 46.1175657), (8.708733, 46.1176218), (8.7087685, 46.1176655), (8.7088431, 46.1177572), (8.7090771, 46.1180281), (8.7091388, 46.1180895), (8.7092263, 46.1181778), (8.709281, 46.1182273), (8.7095146, 46.1184316), (8.7095842, 46.1184879), (8.7098051, 46.1186601), (8.7098883, 46.1187156), (8.7099608, 46.1187573), (8.710096, 46.1188236), (8.7102491, 46.1189074), (8.7102984, 46.118938), (8.7103817, 46.1190041), (8.7103951, 46.1190161), (8.710545, 46.1191452), (8.7107051, 46.1192884), (8.7107557, 46.1193371), (8.7108646, 46.1194381), (8.711001, 46.119579), (8.7110992, 46.119695), (8.7111216, 46.1197229), (8.711179, 46.119827), (8.7112403, 46.1199668), (8.7112714, 46.1200479), (8.711276, 46.1201736), (8.7112739, 46.1203314)];60
[(8.7151339, 46.1245972), (8.7152402, 46.1248488), (8.715442, 46.1253462), (8.715627, 46.1258045), (8.7156561, 46.1259036), (8.7156818, 46.1259914), (8.7157073, 46.1261343), (8.7157086, 46.1262759), (8.7156314, 46.1267123), (8.7155954, 46.1269475), (8.7156189, 46.1271702), (8.7157196, 46.1274195), (8.7158385, 46.1276467), (8.7158759, 46.1277782), (8.715879, 46.1278898), (8.7158752, 46.1281345)];60
[(8.7342951, 46.1478977), (8.734488, 46.1480063), (8.7346553, 46.1480819), (8.7348224, 46.1481435), (8.7356915, 46.1483904), (8.7361212, 46.1485112), (8.7364065, 46.1485855), (8.7367171, 46.1486476), (8.7369542, 46.1486884), (8.7377479, 46.1488175), (8.7383301, 46.1489081), (8.7387098, 46.1489741), (8.7389296, 46.1490089), (8.739076, 46.1490217), (8.7392388, 46.1490207), (8.7394083, 46.1490097), (8.7396099, 46.1489926)];50
[(8.7604856, 46.1545247), (8.7608774, 46.1548141), (8.7693719, 46.161846), (8.7698445, 46.1620957)];80
[(8.7698445, 46.1620957), (8.7699791, 46.1621566), (8.7701093, 46.1622088), (8.7702716, 46.1622637), (8.7704134, 46.1623051), (8.7705778, 46.1623461), (8.7707332, 46.1623754), (8.7708738, 46.1623973), (8.7710265, 46.1624133), (8.7711675, 46.1624226)];80
[(8.7907097, 46.1700862), (8.7908151, 46.1701655), (8.7909528, 46.1702472), (8.7911108, 46.1703173), (8.7912668, 46.1703844), (8.7913616, 46.1704252), (8.7914377, 46.170457), (8.7915346, 46.1705064), (8.7916156, 46.1705708), (8.7917312, 46.1706637), (8.7918238, 46.1707166), (8.7919484, 46.1707544), (8.7922849, 46.1708714), (8.7925377, 46.1709693), (8.7927541, 46.1710843), (8.7930128, 46.1712034), (8.7933655, 46.1713852), (8.7938687, 46.1716883), (8.7941864, 46.1718355), (8.7942529, 46.1718909), (8.7942795, 46.1719314), (8.7942969, 46.1719742), (8.7943044, 46.1720141), (8.7943038, 46.1720543), (8.7942855, 46.1721379), (8.794279, 46.1722074), (8.7942807, 46.1722343), (8.7942884, 46.1722607), (8.7943019, 46.172286), (8.7943247, 46.1723132), (8.7943541, 46.1723372), (8.7943894, 46.1723571), (8.7945038, 46.1723978), (8.7945467, 46.1724084), (8.7946347, 46.1724273), (8.7947113, 46.1724314), (8.7949359, 46.1724061), (8.7949663, 46.1724045), (8.7949959, 46.1724097), (8.7950177, 46.1724189), (8.795033, 46.1724318), (8.7950418, 46.1724458), (8.7950418, 46.1724605), (8.7950369, 46.1724812), (8.7950232, 46.1724998), (8.7950043, 46.1725134), (8.7949808, 46.1725229), (8.7949544, 46.1725276), (8.7949272, 46.172527), (8.7947626, 46.1725358), (8.7947004, 46.1725423), (8.7946395, 46.1725531), (8.7945805, 46.1725681), (8.7945098, 46.1725927), (8.7944454, 46.1726192), (8.7943871, 46.1726434), (8.7943336, 46.1726679), (8.7942845, 46.1726963), (8.7942365, 46.1727314), (8.794195, 46.1727703), (8.7941283, 46.1728472), (8.7939646, 46.1730725), (8.7938912, 46.1731123), (8.7937909, 46.1731285), (8.7937261, 46.1731149), (8.7936528, 46.1730832), (8.7936332, 46.1730685), (8.7936061, 46.1730347), (8.7935966, 46.1729941), (8.7936097, 46.172934), (8.7936533, 46.172835), (8.7936725, 46.1727453), (8.7936374, 46.1724548), (8.7936342, 46.1723224), (8.7936045, 46.1722511), (8.7935662, 46.1721915), (8.7934919, 46.1721452), (8.7932912, 46.1720584), (8.7930257, 46.1719598), (8.7929322, 46.1719356), (8.7926327, 46.1719032), (8.7925136, 46.1718667), (8.7923446, 46.1717502), (8.7922618, 46.1716917), (8.7921558, 46.1716337), (8.7920123, 46.1715771), (8.7917621, 46.1715367), (8.7916535, 46.1715218), (8.7913527, 46.1714747), (8.7910579, 46.1714272), (8.7903581, 46.1713178), (8.789576, 46.1711565), (8.7893413, 46.1711363), (8.7891949, 46.171128), (8.7890174, 46.171132), (8.7886973, 46.1711681), (8.7886537, 46.171171), (8.7885831, 46.1711725), (8.7884724, 46.1711652), (8.7881961, 46.1711345), (8.7880595, 46.1711159), (8.7880294, 46.1711152), (8.7880006, 46.1711214), (8.7879758, 46.1711343), (8.7879588, 46.1711522), (8.7879559, 46.1711692), (8.7879586, 46.1711861), (8.787965, 46.1711994), (8.7879749, 46.1712116), (8.7880001, 46.1712258), (8.788042, 46.1712343), (8.7883197, 46.1712648), (8.7884058, 46.1712751), (8.788547, 46.1712957), (8.7887244, 46.1713288), (8.7888371, 46.1713432), (8.7891248, 46.1713523), (8.7892968, 46.1713751), (8.7895082, 46.1714457), (8.7897555, 46.1715593), (8.7899479, 46.1716057), (8.7901236, 46.1716528), (8.7902813, 46.1717293), (8.7906302, 46.1719076), (8.7906642, 46.1719172), (8.7909148, 46.1719801), (8.7912016, 46.1720572), (8.7913886, 46.1721538), (8.791447, 46.1721956), (8.7916287, 46.1723567), (8.7917776, 46.172477), (8.7920019, 46.1725784), (8.792022, 46.1725884), (8.7920381, 46.1726016), (8.7920491, 46.172617), (8.7920548, 46.1726364), (8.7920525, 46.1726562), (8.7920379, 46.1726721), (8.7920167, 46.172684), (8.7919912, 46.1726905), (8.7919614, 46.1726908), (8.7919333, 46.1726839), (8.791893, 46.1726637), (8.7916286, 46.1725079), (8.7914886, 46.1724329), (8.7913344, 46.1723704), (8.7911704, 46.1723313), (8.791004, 46.1723129), (8.7907677, 46.1722889), (8.7905504, 46.1722604), (8.7901351, 46.1721439), (8.789954, 46.1720922), (8.7897384, 46.1720502), (8.7894081, 46.1720187), (8.7891921, 46.171998), (8.789126, 46.1719949), (8.7889002, 46.1719843), (8.7886368, 46.1719959), (8.788404, 46.1720112), (8.7881832, 46.1720263), (8.7878543, 46.1720579), (8.78737, 46.1720957), (8.7870692, 46.1720853), (8.7867599, 46.172048), (8.7864272, 46.1720122), (8.7862784, 46.1720075), (8.7861411, 46.1720135), (8.7859601, 46.1720322), (8.7856556, 46.1720724), (8.7856126, 46.1720764), (8.7855766, 46.1720818), (8.7855505, 46.1720925), (8.7855308, 46.1721084), (8.7855205, 46.1721249), (8.7855172, 46.1721428), (8.7855212, 46.1721606), (8.7855377, 46.1721794), (8.7855636, 46.1721914), (8.7859431, 46.1722861), (8.7862703, 46.1723576), (8.7865157, 46.172405), (8.7866713, 46.1724607), (8.7868203, 46.1725236), (8.7870816, 46.1726078), (8.7874459, 46.1727047), (8.7876624, 46.17277), (8.7876959, 46.172783), (8.7879318, 46.1728813), (8.7880011, 46.1729172), (8.7882561, 46.1730406), (8.7882848, 46.1730553), (8.7889325, 46.1733815), (8.7892203, 46.173519)];50
[(8.7895147, 46.173691), (8.7895273, 46.1737054), (8.789549, 46.173719), (8.7899834, 46.1739371), (8.7900992, 46.173993), (8.7904532, 46.1741203), (8.7906854, 46.1742033), (8.7912728, 46.1743997), (8.7913529, 46.1744287), (8.7914029, 46.1744585), (8.7914857, 46.1745173), (8.7915213, 46.174578), (8.7915415, 46.1746361), (8.7915314, 46.1747233), (8.7914905, 46.1748023), (8.7914342, 46.1748642), (8.7913848, 46.1748946), (8.7912929, 46.1749336), (8.7910922, 46.1750086), (8.7910205, 46.1750417), (8.7909435, 46.1751141), (8.7908574, 46.1752658), (8.7908487, 46.1753217), (8.7908522, 46.1753468), (8.7908626, 46.1753716), (8.7908883, 46.175409), (8.7909297, 46.1754432), (8.7909807, 46.175466), (8.7910396, 46.1754808), (8.791148, 46.1755072), (8.7912, 46.1755238), (8.79132, 46.1755749)];50
[(8.7966073, 46.1770466), (8.7966735, 46.1770561), (8.7970018, 46.1770942), (8.7972764, 46.1771266), (8.7976279, 46.1771363), (8.7980355, 46.1771432), (8.7981875, 46.1771527), (8.7989962, 46.1772675), (8.7995325, 46.1773594), (8.8004394, 46.177492), (8.8005068, 46.1775033), (8.8005269, 46.1775065), (8.8006834, 46.1775314), (8.8010399, 46.1776), (8.8012848, 46.1776391), (8.8015091, 46.1776668), (8.8015595, 46.1776698), (8.8017047, 46.1776788)];50
[(8.8069735, 46.1765496), (8.807245, 46.1766025), (8.8073011, 46.1766163), (8.807353, 46.1766364), (8.8073992, 46.1766624), (8.8074332, 46.1766885), (8.8074613, 46.1767177), (8.807483, 46.1767494), (8.807498, 46.1767963), (8.807502, 46.1768442), (8.8074964, 46.1768861), (8.8074667, 46.1769612), (8.8074117, 46.1771348), (8.8073652, 46.177215), (8.8072899, 46.177293), (8.807214, 46.1773492), (8.8071367, 46.1773986), (8.80703, 46.17744), (8.8069032, 46.1774815), (8.8068113, 46.1774994), (8.8067445, 46.177509), (8.806315, 46.177546), (8.8061346, 46.1775316), (8.8058361, 46.1774723), (8.8055191, 46.1774097), (8.8053801, 46.1773839), (8.8051607, 46.1773406), (8.8047214, 46.1772531), (8.8045813, 46.1772218), (8.8044618, 46.1771856), (8.8043888, 46.1771603), (8.8043624, 46.1771561), (8.8043377, 46.1771556), (8.8043128, 46.1771618), (8.8042911, 46.1771723), (8.8042742, 46.1771865), (8.8042673, 46.1772057), (8.8042703, 46.1772255), (8.8042815, 46.1772421), (8.8042998, 46.1772554), (8.8044058, 46.1772962), (8.8045198, 46.177346), (8.8046308, 46.177405), (8.8049093, 46.1775818), (8.805039, 46.1776607), (8.8051287, 46.1777223), (8.8051776, 46.1777492), (8.8052189, 46.1777757), (8.8056642, 46.1780587), (8.8057302, 46.1780912), (8.8058827, 46.1781409), (8.8059726, 46.178158), (8.8060857, 46.1781723), (8.806114, 46.1781785), (8.8061384, 46.1781902), (8.8061566, 46.1782065), (8.8061673, 46.1782274), (8.8061677, 46.1782496)];50
[(8.8069735, 46.1765496), (8.806729, 46.1765136), (8.8065082, 46.1765056), (8.8064844, 46.1765062), (8.8060307, 46.1765188), (8.8059404, 46.176513), (8.805826, 46.176492), (8.8057278, 46.1764596), (8.8056308, 46.1764141), (8.8054977, 46.1763194), (8.8054082, 46.1762305), (8.8052491, 46.1759983), (8.8052156, 46.1759538), (8.8051629, 46.1759052)];50
[(8.8051629, 46.1759052), (8.8051021, 46.1758752), (8.8050273, 46.1758538), (8.8048124, 46.1758421), (8.8047633, 46.1758358), (8.8046442, 46.1758006), (8.8044141, 46.1757234), (8.8029614, 46.1752366)];50
[(8.8100847, 46.1766751), (8.810055, 46.1766901), (8.810025, 46.1766916), (8.8099871, 46.1766906), (8.8099378, 46.1766876), (8.8098878, 46.1766906), (8.8098478, 46.1766985), (8.8098268, 46.1767068)];50
[(8.8130317, 46.1764501), (8.8130021, 46.1764759), (8.8127798, 46.1766587), (8.8127338, 46.1766916), (8.8126818, 46.1767095), (8.8126658, 46.1767144), (8.8126424, 46.1767162), (8.8126119, 46.1767125), (8.8125803, 46.1767016), (8.8125356, 46.1766824), (8.8123577, 46.1765987), (8.811908, 46.176353), (8.8116267, 46.1762488), (8.8114287, 46.1761854), (8.8112811, 46.1761617), (8.8110861, 46.1761746), (8.8107817, 46.1762183), (8.810617, 46.1762506), (8.8104888, 46.1762967), (8.8103565, 46.1763765), (8.8101908, 46.1765045), (8.8101551, 46.1765491), (8.8101226, 46.1766408), (8.8101059, 46.1766593), (8.8100847, 46.1766751)];50
[(8.7895147, 46.173691), (8.7894712, 46.1737052), (8.7894153, 46.1737153), (8.7893726, 46.1737033), (8.7893348, 46.1736818), (8.7893012, 46.1736383), (8.7891973, 46.1735812), (8.7890622, 46.173533), (8.7888748, 46.1735005), (8.7887306, 46.1734865), (8.7885786, 46.1734919), (8.788162, 46.1735727), (8.7878796, 46.1736285), (8.787796, 46.1736381)];50
[(8.7824479, 46.1736981), (8.782247, 46.173801), (8.781988, 46.173858), (8.7817164, 46.1738908), (8.781461, 46.173926), (8.7810726, 46.1739148), (8.7810035, 46.1739673), (8.781028, 46.1740314), (8.781163, 46.174038), (8.7812801, 46.1740209), (8.781413, 46.174038), (8.781605, 46.174056), (8.7818058, 46.1740785), (8.7818708, 46.1741008), (8.7819084, 46.1741254), (8.7819614, 46.1741742), (8.7820218, 46.1742631), (8.78203, 46.1743248), (8.7818071, 46.1744834), (8.7817723, 46.1745401), (8.781783, 46.1745986), (8.7818326, 46.1746255), (8.781943, 46.174677), (8.782236, 46.174748), (8.7823721, 46.1747848), (8.7824858, 46.1748317), (8.7825552, 46.1748887), (8.7825961, 46.174946), (8.7826596, 46.1751473), (8.7826944, 46.1752106), (8.7827583, 46.1752669), (8.7828822, 46.1752909), (8.7830865, 46.175302)];50
[(8.8560572, 46.1706699), (8.8560271, 46.1707003), (8.8560217, 46.1707533), (8.85602, 46.1710023)];50
[(8.977326, 45.8736938), (8.977317, 45.8737387), (8.9773053, 45.8737971), (8.9773038, 45.8738314), (8.9773056, 45.8738546), (8.9773107, 45.8738752), (8.9773227, 45.8739008), (8.9773555, 45.8739562), (8.9773964, 45.8740122), (8.9785699, 45.875734), (8.9788616, 45.8760945), (8.9791057, 45.8765418)];100
[(8.9081138, 46.1533003), (8.9074219, 46.1534067), (8.907052, 46.1534277)];60
[(8.9230123, 46.1508144), (8.9230359, 46.1508342), (8.9230546, 46.150865), (8.9230575, 46.1508766), (8.9230576, 46.1508984), (8.9230447, 46.1509306), (8.9230173, 46.150958), (8.9229784, 46.1509778), (8.9229323, 46.1509877), (8.9228841, 46.1509865), (8.9228536, 46.1509797), (8.9228458, 46.1509771), (8.9228128, 46.1509607), (8.9227877, 46.1509387), (8.9227723, 46.1509126), (8.9227681, 46.1508827), (8.9227768, 46.1508532), (8.9227977, 46.1508268), (8.922829, 46.1508059), (8.9228678, 46.1507923), (8.9229106, 46.1507873), (8.9229261, 46.1507877), (8.9229475, 46.1507901), (8.9229821, 46.1507994), (8.9230123, 46.1508144)];60
[(8.9409117, 46.1522314), (8.9413566, 46.1522155), (8.941972, 46.1521952), (8.942068, 46.1521916), (8.942666, 46.1521712), (8.9428273, 46.152166), (8.9438034, 46.1521299), (8.944386, 46.1521116), (8.9444914, 46.152111)];50
[(8.9465287, 46.1518616), (8.9465862, 46.1518638), (8.9466364, 46.1518756), (8.9466804, 46.151896), (8.9467153, 46.1519235), (8.9467388, 46.1519564), (8.9467491, 46.1519929), (8.9467454, 46.15203), (8.9467277, 46.1520651), (8.9466974, 46.1520957), (8.9466565, 46.1521198), (8.9466144, 46.1521341), (8.9465686, 46.1521413), (8.9464988, 46.1521382), (8.9464347, 46.1521188), (8.9463839, 46.1520856), (8.9463525, 46.1520423), (8.9463441, 46.1519942), (8.9463597, 46.151947), (8.9463858, 46.151916), (8.9464225, 46.1518905), (8.9464726, 46.1518708), (8.9465287, 46.1518616)];50
[(8.9469753, 46.1517197), (8.9473244, 46.1515451), (8.9475259, 46.1514171), (8.9477204, 46.1512815), (8.9478678, 46.1511533), (8.9479884, 46.1510331), (8.9481081, 46.1508958), (8.9482236, 46.1507477), (8.948314, 46.150615), (8.9483386, 46.1505788), (8.9484926, 46.1503815), (8.9488574, 46.1499143), (8.9489341, 46.149815), (8.9489854, 46.1497438), (8.9490895, 46.1495991), (8.949322, 46.1492759), (8.9494713, 46.1491027), (8.9495552, 46.1490218), (8.9496364, 46.1489556)];50
[(8.9575576, 46.1516509), (8.9571545, 46.1516551), (8.9566662, 46.1516685), (8.956624, 46.1516697), (8.9561318, 46.1516842), (8.9547933, 46.1517236), (8.9540994, 46.1517509)];60
[(8.9921339, 46.1621474), (8.9923609, 46.1623487), (8.9924453, 46.1624266), (8.9925084, 46.1624864), (8.9925549, 46.1625379), (8.9925999, 46.1625942), (8.9926332, 46.1626495), (8.9926603, 46.1627084), (8.9926774, 46.1627557), (8.992691, 46.1628109), (8.992699, 46.162869), (8.9927006, 46.1629277), (8.9926936, 46.1629883), (8.9926822, 46.1630411), (8.9926687, 46.1630824), (8.9926477, 46.1631267), (8.9926192, 46.1631789), (8.9925827, 46.1632308), (8.992534, 46.1632882), (8.9924839, 46.1633446), (8.992433, 46.1634052), (8.9924087, 46.1634456), (8.9923924, 46.1634842), (8.9923849, 46.1635279), (8.9923734, 46.1635866)];60
[(9.0108481, 46.1729059), (9.0108325, 46.173), (9.0108249, 46.1730473), (9.0108177, 46.1730926), (9.0107258, 46.1735112)];50
[(9.0141727, 46.1784515), (9.0142154, 46.1786514), (9.0142211, 46.1786846), (9.014244, 46.1788192), (9.0142477, 46.1788539)];50
[(9.0435057, 46.2181141), (9.0436274, 46.2182369), (9.0437573, 46.2183729), (9.0438629, 46.2184945), (9.0439362, 46.218589), (9.0440413, 46.218734), (9.0441068, 46.2188311), (9.0441673, 46.2189288), (9.0442263, 46.2190304), (9.0442784, 46.2191268)];80
[(9.0447312, 46.2223851), (9.0448324, 46.2224046), (9.044912, 46.2224155), (9.0449914, 46.2224195), (9.0450695, 46.2224158), (9.0451641, 46.222402), (9.0452509, 46.2223789), (9.0453212, 46.2223518), (9.0453847, 46.2223196), (9.0454473, 46.2222784), (9.0455001, 46.2222324), (9.0455439, 46.2221811), (9.0455771, 46.2221275), (9.0455993, 46.222072), (9.0456095, 46.2220262), (9.045611, 46.2219667), (9.0456046, 46.2219155), (9.0455882, 46.2218627), (9.0455651, 46.2218167), (9.0455353, 46.2217726), (9.0454973, 46.2217324), (9.0454534, 46.2216917), (9.0453958, 46.2216551), (9.0453298, 46.2216201), (9.0452575, 46.2215914), (9.0451907, 46.2215706), (9.0451128, 46.2215514), (9.0450177, 46.221537), (9.044846, 46.2215179), (9.0445619, 46.2214974)];50
[(9.0416299, 46.2209985), (9.0417911, 46.2210153), (9.0418961, 46.2210356), (9.0420299, 46.2210578), (9.0421631, 46.2210781), (9.0422998, 46.2210936), (9.042347, 46.2210983), (9.0424013, 46.2211038)];80
[(9.0447743, 46.220329), (9.0447994, 46.2203598), (9.0448573, 46.2204225), (9.0449225, 46.2204844), (9.0450172, 46.2205644), (9.0451284, 46.2206538), (9.0452792, 46.2207577)];80
[(9.0419829, 46.2170791), (9.0419549, 46.2170581), (9.0419332, 46.2170431), (9.0419083, 46.2170307), (9.0418798, 46.2170184), (9.0418403, 46.2170039), (9.0417683, 46.2169775), (9.0415444, 46.2169078), (9.0414982, 46.2168825), (9.0414614, 46.2168478)];50
[(9.0156564, 46.1887693), (9.015727, 46.1888674), (9.0157494, 46.1888986), (9.0157927, 46.1889587)];50
[(9.0181127, 46.1920392), (9.01815, 46.1920903), (9.0181629, 46.192112), (9.018174, 46.1921308), (9.0181951, 46.192174), (9.0182122, 46.1922226), (9.0182276, 46.1922941)];50
[(9.0182276, 46.1922941), (9.0182297, 46.1923232), (9.0182272, 46.1923657), (9.018217, 46.1924087), (9.0182046, 46.1924472), (9.0181631, 46.1925451), (9.0180098, 46.1928707)];50
[(9.0241161, 46.1945167), (9.0240439, 46.1944661), (9.0238495, 46.1943532), (9.0237817, 46.1943169), (9.0235149, 46.1942061), (9.0233959, 46.1941567), (9.0233505, 46.1941379), (9.0232326, 46.1940684)];50
[(9.0261091, 46.1974429), (9.0260977, 46.1974227), (9.0260831, 46.1973972), (9.0260077, 46.1972648), (9.0257182, 46.1967571)];50
[(9.0219183, 46.1895214), (9.0218222, 46.1894663), (9.0218162, 46.1894652), (9.0217937, 46.1894437)];50
[(8.5870435, 46.5264214), (8.5867053, 46.5263736), (8.5866408, 46.5263679), (8.5865774, 46.5263637), (8.5865208, 46.526364), (8.5864712, 46.5263692), (8.5864056, 46.5263848), (8.58636, 46.5264005), (8.5863106, 46.5264235), (8.5862641, 46.5264513), (8.586233, 46.5264808), (8.5862063, 46.5265117), (8.5861855, 46.5265448), (8.5861711, 46.5265826), (8.5861636, 46.5266272), (8.5861669, 46.5266661), (8.5861772, 46.5267029), (8.5861944, 46.5267381), (8.5862216, 46.5267754), (8.586253, 46.5268061), (8.5863015, 46.5268396), (8.5863504, 46.5268658), (8.5864093, 46.5268886), (8.5864745, 46.526906), (8.5865556, 46.5269214), (8.5866394, 46.5269325), (8.5867232, 46.5269394), (8.5871546, 46.5269671)];40
[(8.5648971, 46.5549108), (8.5649258, 46.5550348), (8.5648815, 46.5551425), (8.5648783, 46.555193), (8.5648804, 46.5552344), (8.564886, 46.5552584), (8.5648955, 46.5552842), (8.5649071, 46.5553086), (8.5649277, 46.5553405), (8.5649471, 46.5553675), (8.5649678, 46.5553899), (8.5649929, 46.5554119), (8.5650148, 46.555429), (8.5650359, 46.5554439), (8.5650643, 46.5554618), (8.5650897, 46.555475), (8.5651131, 46.5554864), (8.5651362, 46.5554958), (8.5651653, 46.5555064), (8.5651968, 46.5555163), (8.5652201, 46.5555221), (8.5652478, 46.5555274), (8.5652787, 46.5555332), (8.565308, 46.5555365), (8.5654831, 46.5555493)];80
[(8.5643298, 46.5559816), (8.5642885, 46.5560557)];80
[(8.9562319, 46.3602636), (8.9571824, 46.3601301)];60
[(8.9576545, 46.3570862), (8.9577241, 46.3572674), (8.9577678, 46.3573751)];80
[(8.9572294, 46.3546264), (8.9571402, 46.3546425), (8.9571044, 46.3546507), (8.9570723, 46.3546553), (8.9570307, 46.3546578), (8.9567093, 46.3546485), (8.9565816, 46.3546375), (8.9564506, 46.3546388), (8.9563214, 46.3546594), (8.9562557, 46.3546805), (8.9561839, 46.3547115), (8.9561289, 46.3547434), (8.9560859, 46.3547721), (8.9560403, 46.354812), (8.956015, 46.3548379), (8.9559863, 46.3548769), (8.9559658, 46.3549144), (8.9559464, 46.3549608), (8.9559382, 46.354998), (8.9559345, 46.3550346), (8.9559386, 46.3550833), (8.9559517, 46.3551366), (8.9559752, 46.3551843), (8.9559994, 46.3552247), (8.9560339, 46.3552646), (8.9560804, 46.355308), (8.9561425, 46.355348), (8.9562031, 46.3553797), (8.956274, 46.3554039), (8.9563495, 46.3554249), (8.9564297, 46.3554399), (8.9565076, 46.3554461), (8.9565835, 46.3554481), (8.9566473, 46.3554439), (8.9567228, 46.3554339), (8.9567862, 46.3554192), (8.9568564, 46.3553974), (8.9569251, 46.3553684), (8.9569915, 46.3553352), (8.9570556, 46.3552952), (8.9571969, 46.3552143), (8.9573488, 46.3551344)];60
[(8.8584559, 46.1709186), (8.858397, 46.1709193), (8.8580371, 46.170931), (8.8572034, 46.1709762), (8.8570422, 46.1709762), (8.8569539, 46.1709688), (8.8568777, 46.1709556), (8.8567835, 46.1709285), (8.8565721, 46.1708328), (8.8564926, 46.1707968), (8.8563981, 46.170754), (8.8563059, 46.1707123), (8.8561919, 46.1706663), (8.8561049, 46.1706548), (8.8560572, 46.1706699)];50
